"id","sequence","name","channel_type","enroll","visibility","description"
"slide_channel_odoo_interface","0","Odoo Interface","Training","On Invitation","Members Only","General course to learn how to use Odoo"
"slide_channel_accounting","10","Accounting","Training","On Invitation","Members Only","Accounting course: AR, AP, banking, etc."
"slide_channel_inventory","20","Inventory","Training","On Invitation","Members Only","Invetnory course: Reception, shipping, barcode scanning"
"slide_channel_manufacturing","30","Manufacturing","Training","On Invitation","Members Only","Manufacturing course: How to process a manufacturing/work order"
"slide_channel_service","30","Services","Training","On Invitation","Members Only","Service course: How to manage your tasks, tickets or FSM orders"
"slide_channel_purchase","40","Purchase","Training","On Invitation","Members Only","Purchase course: How to manage your purchase orders"
"slide_channel_sales","50","Sales / CRM","Training","On Invitation","Members Only","Sales/CRM course: How to manage your leads, quotations and sales orders"
"slide_channel_website","60","Website","Training","On Invitation","Members Only","Website course: How to manage menu items, pages and content"
"slide_channel_hr","70","Human Resources","Training","On Invitation","Members Only","HR course: How to report your expenses, request leaves"
"slide_channel_odoo_admin","90","Odoo Administration","Training","On Invitation","Members Only","Odoo administration course: How to manage users, groups, access rights and record rules"
"slide_channel_odoo_dev","99","Odoo Development","Training","On Invitation","Members Only","Odoo development course: How to customize Odoo"
