"id","sequence","name","slide_type","channel_id/id","is_category"
"slide_slide_odoo_interface_navigation","100","Navigation","Document","slide_channel_odoo_interface","1"
"slide_slide_odoo_interface_views","200","Views","Document","slide_channel_odoo_interface","1"
"slide_slide_odoo_interface_support","300","Support","Document","slide_channel_odoo_interface","1"
"slide_slide_account_receivables","100","Account Receivables","Document","slide_channel_accounting","1"
"slide_slide_account_payables","200","Account Payables","Document","slide_channel_accounting","1"
"slide_slide_account_banking","300","Banking","Document","slide_channel_accounting","1"
"slide_slide_account_reporting","400","Reporting","Document","slide_channel_accounting","1"
"slide_slide_account_assets","500","Assets","Document","slide_channel_accounting","1"
"slide_slide_account_budgets","600","Budgets","Document","slide_channel_accounting","1"
"slide_slide_stock_master","100","Master Data","Document","slide_channel_inventory","1"
"slide_slide_stock_receiving","200","Receiving","Document","slide_channel_inventory","1"
"slide_slide_stock_picking","300","Picking","Document","slide_channel_inventory","1"
"slide_slide_stock_packing","400","Packing","Document","slide_channel_inventory","1"
"slide_slide_stock_shipping","500","Shipping","Document","slide_channel_inventory","1"
"slide_slide_mrp_master","100","Master Data","Document","slide_channel_manufacturing","1"
"slide_slide_mrp_operations","200","Operations","Document","slide_channel_manufacturing","1"
"slide_slide_service_master","100","Master Data","Document","slide_channel_service","1"
"slide_slide_service_project","200","Project","Document","slide_channel_service","1"
"slide_slide_service_helpdesk","300","Helpdesk","Document","slide_channel_service","1"
"slide_slide_service_field","400","Field Service","Document","slide_channel_service","1"
"slide_slide_purchase_master","100","Master Data","Document","slide_channel_purchase","1"
"slide_slide_purchase_purchase","200","Purchase","Document","slide_channel_purchase","1"
"slide_slide_sale_master","100","Master Data","Document","slide_channel_sales","1"
"slide_slide_sale_crm","200","CRM","Document","slide_channel_sales","1"
"slide_slide_sale_sales","300","Sales","Document","slide_channel_sales","1"
"slide_slide_website_menu","100","Menu & Pages","Document","slide_channel_website","1"
"slide_slide_website_themes","200","Themes","Document","slide_channel_website","1"
"slide_slide_website_blog","300","Blog & Posts","Document","slide_channel_website","1"
"slide_slide_website_ecommerce","400","eCommerce","Document","slide_channel_website","1"
"slide_slide_hr_master","100","Master Data","Document","slide_channel_hr","1"
"slide_slide_hr_expense","200","Expenses","Document","slide_channel_hr","1"
"slide_slide_hr_leaves","300","Leaves","Document","slide_channel_hr","1"
"slide_slide_admin_security","100","Security","Document","slide_channel_odoo_admin","1"
"slide_slide_admin_audit","200","Audit","Document","slide_channel_odoo_admin","1"
"slide_slide_dev_module","100","Module","Document","slide_channel_odoo_dev","1"
"slide_slide_dev_models","200","Models","Document","slide_channel_odoo_dev","1"
"slide_slide_dev_views","300","Views","Document","slide_channel_odoo_dev","1"
"slide_slide_dev_reports","400","Reports","Document","slide_channel_odoo_dev","1"
