model_id,field_description,name,code,attribute_type,relation_model_id,widget,domain,translate,serialized,size,required,required_on_views,sequence,attribute_group_id,attribute_set_ids
product.template,Brand,x_brand,brand,select,,,,,,0,,,0,Product Manager,"Accessories,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Software,Storage"
product.template,Customer Facing Name,x_customer_facing_name,customer_facing_name,char,,,,TRUE,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,Customer Facing Short Name,x_customer_facing_short_name,customer_facing_short_name,char,,,,TRUE,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,EU Product Tax Code,x_eu_product_tax_code,eu_product_tax_code,select,,,,,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,GTIN,x_gtin,gtin,char,,,,TRUE,,0,,,0,Product Manager,"Accessories,Cables,Cases,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage"
product.template,Hardware Line,x_hardware_line,hardware_line,select,,,,,,0,,,0,Product Manager,"Computers,Panel PCs"
product.template,Partner,x_partner_series,partner_series,select,,,,,,0,,,0,Product Manager,"Computers,Panel PCs"
product.template,Reporting Category: Category,x_reporting_category_category,reporting_category_category,select,,,,,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,Reporting Category: Line,x_reporting_category_line,reporting_category_line,select,,,,,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,Reporting Category: Series,x_reporting_category_series,reporting_category_series,select,,,,,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,Reporting Category: System,x_reporting_category_system,reporting_category_system,select,,,,,,0,,,0,Product Manager,"Accessories,Assembly & Validation,Cables,Cases,Computers,Displays,Expansion,Heatsinks,Memory,Motherboards,Panel PCs,Power Supplies,Processors,Services,Software,Storage,Warranties"
product.template,Series,x_series,series,select,,,,,,0,,,0,Product Manager,"Computers,Panel PCs"
