attribute_id,name,sequence,code
Additional Features,4G LTE,10,4g_lte
Additional Features,CAN Bus,20,can_bus
Additional Features,CEC,30,cec
Additional Features,DIO,40,dio
Additional Features,GPU Expansion,50,gpu_expansion
Additional Features,Ignition Sensing,60,ignition_sensing
Additional Features,Remote Management: Intel vPro,70,remote_management:_intel_vpro
Additional Features,User-Programmable OnLogic Microcontroller (MCU),,userprogrammable_onlogic_microcontroller_mcu
Additional Features,Automotive Ignition Power Sensing,,automotive_ignition_power_sensing
Additional Features,Onboard TPM 2.0 module (Infineon SLB9672),,onboard_tpm_20_module_infineon_slb9672
Brand,AMD,10,amd
Brand,Apacer,20,apacer
Brand,Artesyn,30,artesyn
Brand,ASRock,40,asrock
Brand,AWS,50,aws
Brand,Cincoze,60,cincoze
Brand,CoolJag,70,cooljag
Brand,Extrovert,90,extrovert
Brand,Google,100,google
Brand,IGEL,110,igel
Brand,Inductive Automation,120,inductive_automation
Brand,Innodisk,130,innodisk
Brand,Intel,140,intel
Brand,Jetway,150,jetway
Brand,Kingston,160,kingston
Brand,Mean Well,170,mean_well
Brand,Microsoft,180,microsoft
Brand,Mitac,190,mitac
Brand,MSI,210,msi
Brand,Neousys,220,neousys
Brand,Nvidia,230,nvidia
Brand,OnLogic,240,onlogic
Brand,Phoenix,250,phoenix
Brand,PicoPSU,260,picopsu
Brand,PNY,270,pny
Brand,Samsung,280,samsung
Brand,Seagate,290,seagate
Brand,Seasonic,300,seasonic
Brand,SparkLAN,310,sparklan
Brand,Sparkle,320,sparkle
Brand,Super Silence,330,super_silence
Brand,Taoglas,340,taoglas
Brand,Thinmanager,350,thinmanager
Brand,Transcend,360,transcend
Brand,Unex,370,unex
Brand,Western Digital,380,western_digital
Brand,Wingsonic Ltd.,390,wingsonic_ltd
Brand,Zotac,400,zotac
Cable Connectors,3-pin Fan Header,10,3pin_fan_header
Cable Connectors,4-pin Fan Connector,20,4pin_fan_connector
Cable Connectors,ATX 20-pin,30,atx_20pin
Cable Connectors,ATX 24-pin,40,atx_24pin
Cable Connectors,Berg,50,berg
Cable Connectors,DB9,60,db9
Cable Connectors,DC Jack,70,dc_jack
Cable Connectors,DisplayPort,80,displayport
Cable Connectors,DVI-D,90,dvid
Cable Connectors,DVI-I,100,dvii
Cable Connectors,eSATA,110,esata
Cable Connectors,HDMI,120,hdmi
Cable Connectors,IEC 60320 C16,,iec_60320_c16
Cable Connectors,M12 8-pin,130,m12_8pin
Cable Connectors,Mini-DisplayPort,140,minidisplayport
Cable Connectors,Mini-SAS HD SFF-8643,150,minisas_hd_sff8643
Cable Connectors,Molex,160,molex
Cable Connectors,OCuLink SFF-8611,170,oculink_sff8611
Cable Connectors,P2,180,p2
Cable Connectors,P4,190,p4
Cable Connectors,RJ-45,200,rj45
Cable Connectors,USB,210,usb
Cable Connectors,USB 3.0 Pin Header (2mm),220,usb_30_pin_header_2mm
Cable Connectors,USB Pin Header (2mm),230,usb_pin_header_2mm
Cable Connectors,USB Pin Header (2.54mm),240,usb_pin_header_254mm
Cable Connectors,USB-A,250,usba
Cable Connectors,USB-C,260,usbc
Cable Connectors,SATA,270,sata
Cable Connectors,SATA Power,280,sata_power
Cable Connectors,SATA Locking,290,sata_locking
Cable Connectors,U.FL-R-SMT,300,uflrsmt
Cable Connectors,VGA,310,vga
Cable DC Connector,2-pin Terminal Block,10,2pin_terminal_block
Cable DC Connector,3-pin Terminal Block,20,3pin_terminal_block
Cable DC Connector,4-pin DIN,30,4pin_din
Cable DC Connector,4-pin Mini-DIN,40,4pin_minidin
Cable DC Connector,4-pin Terminal Block,50,4pin_terminal_block
Cable DC Connector,5-pin Terminal Block,60,5pin_terminal_block
Cable DC Connector,5.5 mm OD x 1.7 mm ID,70,55_mm_od_x_17_mm_id
Cable DC Connector,5.5 mm OD x 1.7 mm ID x 11 mm Length,80,55_mm_od_x_17_mm_id_x_11_mm_length
Cable DC Connector,5.5 mm OD x 2.1 mm ID x 12 mm Length,90,55_mm_od_x_21_mm_id_x_12_mm_length
Cable DC Connector,5.5 mm OD x 2.5 mm ID,100,55_mm_od_x_25_mm_id
Cable DC Connector,5.5 mm x 2.5 mm Locking,110,55_mm_x_25_mm_locking
Cable DC Connector,6-pin Molex,120,6pin_molex
Cable DC Connector,7.4 mm OD x 0.6 mm ID,130,74_mm_od_x_06_mm_id
Cable DC Connector,7.4 mm OD x 5 mm ID,140,74_mm_od_x_5_mm_id
