id,name,category_id/id
__setup__.product_reporting_line_components_components,Components,__setup__.product_reporting_category_components
__setup__.product_reporting_line_industrial_entry,Entry,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_fanless,Fanless,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_fanned,Fanned,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_gateway,Gateway,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_legacy_industrial,Legacy Industrial,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_performance,Performance,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_industrial_small_form_factor,Small Form Factor,__setup__.product_reporting_category_industrial
__setup__.product_reporting_line_panel_cincoze_panel,Cincoze Panel,__setup__.product_reporting_category_panel
__setup__.product_reporting_line_panel_mitac_panel,Mitac Panel,__setup__.product_reporting_category_panel
__setup__.product_reporting_line_panel_onlogic_panel,OnLogic Panel,__setup__.product_reporting_category_panel
__setup__.product_reporting_line_panel_panel_pc,Panel PC,__setup__.product_reporting_category_panel
__setup__.product_reporting_line_panel_by_cincoze_components,Components,__setup__.product_reporting_category_panel_by_cincoze
__setup__.product_reporting_line_rugged_entry,Entry,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_high_performance,High Performance,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_jetson,Jetson,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_legacy_rugged,Legacy Rugged,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_mid_tier,Mid Tier,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_performance,Performance,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_rugged_by_cincoze,Rugged By Cincoze,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_rugged_by_onlogic,Rugged By OnLogic,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_rugged_rugged_jetson,Rugged Jetson,__setup__.product_reporting_category_rugged
__setup__.product_reporting_line_server_1u_1_5u_rackmount,1U & 1.5U Rackmount,__setup__.product_reporting_category_server
__setup__.product_reporting_line_server_2u_rackmount,2U Rackmount,__setup__.product_reporting_category_server
__setup__.product_reporting_line_server_3u_rackmount,3U Rackmount,__setup__.product_reporting_category_server
__setup__.product_reporting_line_server_4u_rackmount,4U Rackmount,__setup__.product_reporting_category_server
__setup__.product_reporting_line_server_standalone,Standalone,__setup__.product_reporting_category_server
