id,name,line_id/id
__setup__.product_reporting_series_components_components_components,Components,__setup__.product_reporting_line_components_components
__setup__.product_reporting_series_industrial_entry_hx400_series,HX400 Series,__setup__.product_reporting_line_industrial_entry
__setup__.product_reporting_series_industrial_entry_ml100_series,ML100 Series,__setup__.product_reporting_line_industrial_entry
__setup__.product_reporting_series_industrial_fanless_fr200_series,FR200 Series,__setup__.product_reporting_line_industrial_fanless
__setup__.product_reporting_series_industrial_fanless_hx500_series,HX500 Series,__setup__.product_reporting_line_industrial_fanless
__setup__.product_reporting_series_industrial_fanless_hx600_series,HX600 Series,__setup__.product_reporting_line_industrial_fanless
__setup__.product_reporting_series_industrial_fanned_mc500_series,MC500 Series,__setup__.product_reporting_line_industrial_fanned
__setup__.product_reporting_series_industrial_fanned_mc600_series,MC600 Series,__setup__.product_reporting_line_industrial_fanned
__setup__.product_reporting_series_industrial_gateway_hx300_series,HX300 Series,__setup__.product_reporting_line_industrial_gateway
__setup__.product_reporting_series_industrial_gateway_ml200_series,ML200 Series,__setup__.product_reporting_line_industrial_gateway
__setup__.product_reporting_series_industrial_gateway_ml250_series,ML250 Series,__setup__.product_reporting_line_industrial_gateway
__setup__.product_reporting_series_industrial_gateway_ml300_series,ML300 Series,__setup__.product_reporting_line_industrial_gateway
__setup__.product_reporting_series_industrial_legacy_industrial_legacy_industrial,Legacy Industrial,__setup__.product_reporting_line_industrial_legacy_industrial
__setup__.product_reporting_series_industrial_legacy_industrial_nc100_series,NC100 Series,__setup__.product_reporting_line_industrial_legacy_industrial
__setup__.product_reporting_series_industrial_legacy_industrial_nc200_series,NC200 Series,__setup__.product_reporting_line_industrial_legacy_industrial
__setup__.product_reporting_series_industrial_performance_hx500_series,HX500 Series,__setup__.product_reporting_line_industrial_performance
__setup__.product_reporting_series_industrial_performance_hx600_series,HX600 Series,__setup__.product_reporting_line_industrial_performance
__setup__.product_reporting_series_industrial_performance_ml400_series,ML400 Series,__setup__.product_reporting_line_industrial_performance
__setup__.product_reporting_series_industrial_performance_ml500_series,ML500 Series,__setup__.product_reporting_line_industrial_performance
__setup__.product_reporting_series_industrial_performance_ml600_series,ML600 Series,__setup__.product_reporting_line_industrial_performance
__setup__.product_reporting_series_industrial_small_form_factor_cl100_series,CL100 Series,__setup__.product_reporting_line_industrial_small_form_factor
__setup__.product_reporting_series_industrial_small_form_factor_cl200_series,CL200 Series,__setup__.product_reporting_line_industrial_small_form_factor
__setup__.product_reporting_series_industrial_small_form_factor_fr200_series,FR200 Series,__setup__.product_reporting_line_industrial_small_form_factor
__setup__.product_reporting_series_panel_cincoze_panel_p1000_series,P1000 Series,__setup__.product_reporting_line_panel_cincoze_panel
__setup__.product_reporting_series_panel_cincoze_panel_p2000_series,P2000 Series,__setup__.product_reporting_line_panel_cincoze_panel
__setup__.product_reporting_series_panel_mitac_panel_d_series,D Series,__setup__.product_reporting_line_panel_mitac_panel
__setup__.product_reporting_series_panel_mitac_panel_p100_series,P100 Series,__setup__.product_reporting_line_panel_mitac_panel
__setup__.product_reporting_series_panel_onlogic_panel_tacton_series,Tacton Series,__setup__.product_reporting_line_panel_onlogic_panel
__setup__.product_reporting_series_panel_panel_pc_p1000_series,P1000 Series,__setup__.product_reporting_line_panel_panel_pc
__setup__.product_reporting_series_panel_by_cincoze_components_components,Components,__setup__.product_reporting_line_panel_by_cincoze_components
__setup__.product_reporting_series_rugged_entry_da_series,DA Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_dc_series,DC Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_k300_series,K300 Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_k400_series,K400 Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_nuvo_series,Nuvo Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_p1000_series,P1000 Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_p2000_series,P2000 Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_entry_poc_series,POC Series,__setup__.product_reporting_line_rugged_entry
__setup__.product_reporting_series_rugged_high_performance_gp_series,GP Series,__setup__.product_reporting_line_rugged_high_performance
__setup__.product_reporting_series_rugged_high_performance_nuvo_series,Nuvo Series,__setup__.product_reporting_line_rugged_high_performance
__setup__.product_reporting_series_rugged_jetson_nx_series,NX Series,__setup__.product_reporting_line_rugged_jetson
__setup__.product_reporting_series_rugged_legacy_rugged_igt_series,IGT Series,__setup__.product_reporting_line_rugged_legacy_rugged
__setup__.product_reporting_series_rugged_legacy_rugged_legacy_rugged,Legacy Rugged,__setup__.product_reporting_line_rugged_legacy_rugged
__setup__.product_reporting_series_rugged_legacy_rugged_nuvis_series,Nuvis Series,__setup__.product_reporting_line_rugged_legacy_rugged
__setup__.product_reporting_series_rugged_legacy_rugged_nuvo_series,Nuvo Series,__setup__.product_reporting_line_rugged_legacy_rugged
__setup__.product_reporting_series_rugged_legacy_rugged_poc_series,POC Series,__setup__.product_reporting_line_rugged_legacy_rugged
__setup__.product_reporting_series_rugged_mid_tier_de_series,DE Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_di_series,DI Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_ds_series,DS Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_dx_series,DX Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_nuvo_series,Nuvo Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_p2000_series,P2000 Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_mid_tier_poc_series,POC Series,__setup__.product_reporting_line_rugged_mid_tier
__setup__.product_reporting_series_rugged_performance_gm_series,GM Series,__setup__.product_reporting_line_rugged_performance
__setup__.product_reporting_series_rugged_performance_k700_series,K700 Series,__setup__.product_reporting_line_rugged_performance
__setup__.product_reporting_series_rugged_performance_k800_series,K800 Series,__setup__.product_reporting_line_rugged_performance
__setup__.product_reporting_series_rugged_performance_nuvo_series,Nuvo Series,__setup__.product_reporting_line_rugged_performance
__setup__.product_reporting_series_rugged_rugged_by_cincoze_gp_series,GP Series,__setup__.product_reporting_line_rugged_rugged_by_cincoze
__setup__.product_reporting_series_rugged_rugged_by_onlogic_k800_series,K800 Series,__setup__.product_reporting_line_rugged_rugged_by_onlogic
__setup__.product_reporting_series_rugged_rugged_jetson_nru_series,NRU Series,__setup__.product_reporting_line_rugged_rugged_jetson
__setup__.product_reporting_series_server_1u_1_5u_rackmount_axial_series,Axial Series,__setup__.product_reporting_line_server_1u_1_5u_rackmount
__setup__.product_reporting_series_server_1u_1_5u_rackmount_mk100_series,MK100 Series,__setup__.product_reporting_line_server_1u_1_5u_rackmount
__setup__.product_reporting_series_server_1u_1_5u_rackmount_mk150_series,MK150 Series,__setup__.product_reporting_line_server_1u_1_5u_rackmount
__setup__.product_reporting_series_server_2u_rackmount_mk200_series,MK200 Series,__setup__.product_reporting_line_server_2u_rackmount
__setup__.product_reporting_series_server_3u_rackmount_axial_series,Axial Series,__setup__.product_reporting_line_server_3u_rackmount
__setup__.product_reporting_series_server_4u_rackmount_mk400_series,MK400 Series,__setup__.product_reporting_line_server_4u_rackmount
__setup__.product_reporting_series_server_standalone_mc800_series,MC800 Series,__setup__.product_reporting_line_server_standalone
__setup__.product_reporting_series_server_standalone_mc850_series,MC850 Series,__setup__.product_reporting_line_server_standalone
