id,name,series_id/id
__setup__.product_reporting_system_components_components_components_motherboard_kits,Motherboard Kits,__setup__.product_reporting_series_components_components_components
__setup__.product_reporting_system_components_components_components_mounting_brackets,Mounting Brackets,__setup__.product_reporting_series_components_components_components
__setup__.product_reporting_system_industrial_entry_hx400_series_hx401,HX401,__setup__.product_reporting_series_industrial_entry_hx400_series
__setup__.product_reporting_system_industrial_entry_hx400_series_hx401_tm130_,HX401 (TM130),__setup__.product_reporting_series_industrial_entry_hx400_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_10,ML100G-10,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_10_tm100_,ML100G-10 (TM100),__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_30,ML100G-30,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_31,ML100G-31,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_40,ML100G-40,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_40_igl160_,ML100G-40 (IGL160),__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_40_ign510_,ML100G-40 (IGN510),__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_41,ML100G-41,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_42,ML100G-42,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_50,ML100G-50,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_51,ML100G-51,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_51_ign500_,ML100G-51 (IGN500),__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_52,ML100G-52,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_53,ML100G-53,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_53_tm120_,ML100G-53 (TM120),__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_54,ML100G-54,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ml100g_56,ML100G-56,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_entry_ml100_series_ng100w_10,NG100W-10,__setup__.product_reporting_series_industrial_entry_ml100_series
__setup__.product_reporting_system_industrial_fanless_fr200_series_zededa_fr201,ZEDEDA-FR201,__setup__.product_reporting_series_industrial_fanless_fr200_series
__setup__.product_reporting_system_industrial_fanless_fr200_series_zededa_fr201_w,ZEDEDA-FR201-W,__setup__.product_reporting_series_industrial_fanless_fr200_series
__setup__.product_reporting_system_industrial_fanless_hx500_series_hx511,HX511,__setup__.product_reporting_series_industrial_fanless_hx500_series
__setup__.product_reporting_system_industrial_fanless_hx600_series_hx600,HX600,__setup__.product_reporting_series_industrial_fanless_hx600_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_other_,MC500 (Other),__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_10,MC500-10,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_11,MC500-11,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_30,MC500-30,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_50,MC500-50,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_51,MC500-51,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc500_52,MC500-52,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_10,MC510-10,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_40,MC510-40,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_40_tm800_,MC510-40 (TM800),__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_50,MC510-50,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_50_grl100_,MC510-50 (GRL100),__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc500_series_mc510_55,MC510-55,__setup__.product_reporting_series_industrial_fanned_mc500_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_other_,MC600 (Other),__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_10,MC600-10,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_11,MC600-11,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_50,MC600-50,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_51,MC600-51,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc600_52,MC600-52,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc610_10,MC610-10,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc610_50,MC610-50,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc610_50_tm610_,MC610-50 (TM610),__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_fanned_mc600_series_mc610_55,MC610-55,__setup__.product_reporting_series_industrial_fanned_mc600_series
__setup__.product_reporting_system_industrial_gateway_hx300_series_hx310,HX310,__setup__.product_reporting_series_industrial_gateway_hx300_series
__setup__.product_reporting_system_industrial_gateway_hx300_series_hx330,HX330,__setup__.product_reporting_series_industrial_gateway_hx300_series
__setup__.product_reporting_system_industrial_gateway_hx300_series_hx330_tm260_,HX330 (TM260),__setup__.product_reporting_series_industrial_gateway_hx300_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml200_other_,ML200 (Other),__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_10,ML210G-10,__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_10_tm200_,ML210G-10 (TM200),__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_11,ML210G-11,__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_12,ML210G-12,__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_50,ML210G-50,__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml200_series_ml210g_51,ML210G-51,__setup__.product_reporting_series_industrial_gateway_ml200_series
__setup__.product_reporting_system_industrial_gateway_ml250_series_ml250_other_,ML250 (Other),__setup__.product_reporting_series_industrial_gateway_ml250_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml300_other_,ML300 (Other),__setup__.product_reporting_series_industrial_gateway_ml300_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml340g_10,ML340G-10,__setup__.product_reporting_series_industrial_gateway_ml300_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml340g_50,ML340G-50,__setup__.product_reporting_series_industrial_gateway_ml300_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml340g_51,ML340G-51,__setup__.product_reporting_series_industrial_gateway_ml300_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml350g_10,ML350G-10,__setup__.product_reporting_series_industrial_gateway_ml300_series
__setup__.product_reporting_system_industrial_gateway_ml300_series_ml350g_10_grl600_,ML350G-10 (GRL600),__setup__.product_reporting_series_industrial_gateway_ml300_series
